company,intent_score,priority,confidence,evidence_count,detected_signals,why_now
Liquid Death,55,High,High,5,EXPANSION; FUNDING; HIRING; LEADERSHIP_CHANGE; OTHER,Recent funding combined with active hiring suggests operational expansion and increasing logistics complexity.
Vuori,45,High,High,9,EXPANSION; FUNDING; HIRING; OTHER,Recent funding combined with active hiring suggests operational expansion and increasing logistics complexity.
Blueland,45,High,High,4,EXPANSION; FUNDING; HIRING,Recent funding combined with active hiring suggests operational expansion and increasing logistics complexity.
Manscaped,45,High,High,4,EXPANSION; FUNDING; HIRING; OTHER,Recent funding combined with active hiring suggests operational expansion and increasing logistics complexity.
Momofuku Goods,30,High,High,4,EXPANSION; FUNDING; LEADERSHIP_CHANGE; OTHER,Recent capital infusion paired with market expansion points to rapid business growth.
Ridge Wallet,25,Medium,High,2,HIRING; OTHER,Active hiring expansion across key departments indicates organizational growth.
Rothy's,20,Medium,Medium,4,EXPANSION; LEADERSHIP_CHANGE; OTHER,Active operational and market expansion indicates growing scalability demands.
Brooklinen,20,Medium,Medium,3,EXPANSION; FUNDING; OTHER,Recent capital infusion paired with market expansion points to rapid business growth.
Magic Spoon,10,Low,Medium,6,FUNDING; OTHER,Recent funding allocation indicates financial backing for strategic growth initiatives.
Outdoor Voices,10,Low,Medium,4,EXPANSION; OTHER,Active operational and market expansion indicates growing scalability demands.
Poppi,10,Low,Medium,4,FUNDING; OTHER,Recent funding allocation indicates financial backing for strategic growth initiatives.
Chubbies,10,Low,High,2,EXPANSION; OTHER,Active operational and market expansion indicates growing scalability demands.
Olipop,10,Low,Medium,2,FUNDING; OTHER,Recent funding allocation indicates financial backing for strategic growth initiatives.
Caraway,10,Low,Medium,2,FUNDING; OTHER,Recent funding allocation indicates financial backing for strategic growth initiatives.
Our Place,10,Low,Medium,2,EXPANSION; OTHER,Active operational and market expansion indicates growing scalability demands.
True Classic,0,Low,Medium,3,OTHER,Public signals indicate ongoing market activity and account evaluation potential.
Kosas,0,Low,Medium,3,OTHER,Public signals indicate ongoing market activity and account evaluation potential.
Solo Stove,0,Low,Medium,1,OTHER,Public signals indicate ongoing market activity and account evaluation potential.
Feastables,0,Low,Medium,1,OTHER,Public signals indicate ongoing market activity and account evaluation potential.
Jones Road Beauty,0,Low,Medium,1,OTHER,Public signals indicate ongoing market activity and account evaluation potential.
Graza,0,Low,Low,0,,No meaningful buying intent signals were detected from the available public sources.
Native Deodorant,0,Low,Low,0,,No meaningful buying intent signals were detected from the available public sources.
Beardbrand,0,Low,Low,0,,No meaningful buying intent signals were detected from the available public sources.
Tushy,0,Low,Low,0,,No meaningful buying intent signals were detected from the available public sources.
Parade Underwear,0,Low,Low,0,,No meaningful buying intent signals were detected from the available public sources.
